"","district_id","name","region","no..of.inhabitants","no..of.municipalities.with.inhabitants...499","no..of.municipalities.with.inhabitants.500.1999","no..of.municipalities.with.inhabitants.2000.9999","no..of.municipalities.with.inhabitants..10000","no..of.cities","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96"
"1",1,"Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107
"2",2,"Benesov","central Bohemia",88884,80,26,6,2,5,46.7,8507,16,1.85,132,25,2674
"3",3,"Beroun","central Bohemia",75232,55,26,4,1,5,41.7,8980,22,2.21,111,36,2813
"4",4,"Kladno","central Bohemia",149893,63,29,6,2,6,67.4,9753,56,5.05,109,63,5892
"5",5,"Kolin","central Bohemia",95616,65,30,4,1,6,51.4,9307,52,4.43,118,32,3040
"6",6,"Kutna Hora","central Bohemia",77963,60,23,4,2,4,51.5,8546,38,4.02,126,33,3120
"7",7,"Melnik","central Bohemia",94725,38,28,1,3,6,63.4,9920,23,2.87,130,54,4846
"8",8,"Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.4,11277,9,1.44,127,61,4987
"9",9,"Nymburk","central Bohemia",81344,61,23,4,2,6,55.3,8899,44,3.97,149,40,2487
"10",10,"Praha - vychod","central Bohemia",92084,55,29,4,3,5,46.7,10124,4,0.54,141,50,4316
"11",11,"Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,3,0.59,154,44,3529
"12",12,"Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,51,4.31,137,49,3868
"13",13,"Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,33,3.26,123,9,1875
"14",14,"Ceske Budejovice","south Bohemia",177686,69,27,10,1,9,74.8,10045,12,1.71,135,70,6295
"15",15,"Cesky Krumlov","south Bohemia",58796,22,16,7,1,5,51.9,9045,39,3.6,124,15,1879
"16",16,"Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,8,1.54,107,18,1913
"17",17,"Pelhrimov","south Bohemia",74062,99,15,4,2,7,61.4,8114,25,2.62,119,2,1181
"18",18,"Pisek","south Bohemia",70699,60,13,2,1,4,65.3,8968,37,3.35,131,13,1910
"19",19,"Prachatice","south Bohemia",51428,50,11,3,1,4,52.7,8402,39,3.98,120,76,1099
"20",20,"Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542
"21",21,"Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354
"22",22,"Domazlice","west Bohemia",58400,65,16,4,1,6,52.4,8620,7,1.25,100,4,1117
"23",23,"Cheb","west Bohemia",87419,21,11,4,3,9,85.5,8624,19,2.66,102,38,3198
"24",24,"Karlovy Vary","west Bohemia",122603,25,21,6,2,8,80,8991,11,2.01,128,62,5273
"25",25,"Klatovy","west Bohemia",88757,60,33,3,2,10,61.7,8554,27,2.68,113,14,2218
"26",26,"Plzen - mesto","west Bohemia",170449,0,0,0,1,1,100,10787,31,3.09,131,67,6261
"27",27,"Plzen - jih","west Bohemia",67298,71,19,10,0,7,43.8,8561,5,1.29,110,3,1127
"28",28,"Plzen - sever","west Bohemia",72541,66,26,10,0,8,36.9,8594,15,2.01,112,8,1525
"29",29,"Rokycany","west Bohemia",45714,52,10,5,1,6,55.6,8843,36,3.6,113,72,888
"30",30,"Sokolov","west Bohemia",94812,15,13,8,2,10,81.8,9650,43,3.67,100,39,2804
"31",31,"Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452
"32",32,"Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,35,3.22,118,55,4505
"33",33,"Decin","north Bohemia",133777,24,17,7,3,11,84.7,8705,64,7.61,116,58,4859
"34",34,"Chomutov","north Bohemia",125236,28,11,1,4,5,87.7,9675,67,7.68,100,64,5190
"35",35,"Jablonec n. Nisou","north Bohemia",88768,10,18,5,1,7,80.5,8867,6,1.21,130,42,3620
"36",36,"Liberec","north Bohemia",159617,29,19,8,1,9,85.2,9198,42,4.28,131,66,6132
"37",37,"Litomerice","north Bohemia",114006,71,26,6,2,9,62.3,9065,55,5.39,123,53,4166
"38",38,"Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822
"39",39,"Most","north Bohemia",119895,17,4,3,2,4,89.9,10446,71,9.4,90,59,4743
"40",40,"Teplice","north Bohemia",128118,9,16,6,3,8,85.3,9317,68,7.07,97,71,6872
"41",41,"Usti nad Labem","north Bohemia",118650,8,8,5,1,3,85.6,9832,41,4.48,114,69,5471
"42",42,"Havlickuv Brod","east Bohemia",95907,87,25,5,2,7,59.1,8388,26,2.94,87,11,1668
"43",43,"Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.3,9425,17,2.5,125,52,3891
"44",44,"Chrudim","east Bohemia",105606,77,26,7,2,7,53,8254,34,3.76,97,26,2325
"45",45,"Jicin","east Bohemia",77917,85,19,6,1,5,53.5,8390,24,2.89,132,21,2122
"46",46,"Nachod","east Bohemia",112709,48,20,7,3,10,73.5,8369,19,2.31,117,37,2618
"47",47,"Pardubice","east Bohemia",162580,83,26,5,1,6,72.8,9538,13,1.81,111,68,5410
"48",48,"Rychnov nad Kneznou","east Bohemia",78955,50,24,8,1,9,59,9060,18,2.44,124,10,1717
"49",49,"Semily","east Bohemia",75685,31,28,5,1,9,60.8,8208,21,2.26,155,12,2123
"50",50,"Svitavy","east Bohemia",102609,75,33,2,3,6,52,8187,61,5.45,94,23,2134
"51",51,"Trutnov","east Bohemia",121947,37,28,7,3,11,70.5,8541,28,2.97,131,45,3839
"52",52,"Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.9,8363,29,3.49,108,30,2799
"53",53,"Blansko","south Moravia",107911,88,33,6,2,7,50.9,8240,30,3.56,99,16,1903
"54",54,"Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696
"55",55,"Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894
"56",56,"Breclav","south Moravia",124605,11,42,14,1,8,46,8772,57,4.98,126,37,3158
"57",57,"Hodonin","south Moravia",161954,21,37,20,3,8,48,8720,48,4.5,116,47,3651
"58",58,"Jihlava","south Moravia",109164,98,16,6,1,4,63.6,8757,43,3.95,96,27,2471
"59",59,"Kromeriz","south Moravia",108871,41,29,7,2,6,62.1,8444,40,3.47,106,31,2305
"60",60,"Prostejov","south Moravia",110643,49,41,4,1,4,51.9,8441,45,4.48,115,20,2252
"61",61,"Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,60,5.74,107,22,2059
"62",62,"Uherske Hradiste","south Moravia",145688,22,41,13,2,5,40.7,8544,10,1.86,109,35,2906
"63",63,"Vyskov","south Moravia",86513,38,36,5,1,5,50.5,8288,49,4.52,110,6,1460
"64",64,"Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265
"65",65,"Znojmo","south Moravia",114200,101,41,4,1,4,43.7,8403,63,5.72,105,24,2718
"66",66,"Zdar nad Sazavou","south Moravia",125832,151,41,2,3,5,48.3,8512,46,4.12,102,28,2103
"67",67,"Bruntal","north Moravia",106054,38,25,6,2,6,63.1,8110,65,6.55,109,41,3079
"68",68,"Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887
"69",69,"Jesenik","north Moravia",42821,4,13,5,1,3,48.4,8173,36.5,7.01,124,38.5,1358
"70",70,"Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108
"71",71,"Novy Jicin","north Moravia",161227,5,35,11,4,10,69.7,8678,66,5.57,102,60,4595
"72",72,"Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208
"73",73,"Opava","north Moravia",182027,17,49,12,2,7,56.4,8746,42,3.74,90,56,4433
"74",74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347
"75",75,"Prerov","north Moravia",138032,67,30,4,2,5,64.6,8819,62,5.66,99,51,4505
"76",76,"Sumperk","north Moravia",127369,31,32,13,2,7,51.2,8369,58,5.88,107,48,2807
"77",77,"Vsetin","north Moravia",148545,8,35,12,3,4,53.5,8909,53,5.56,113,43,3590
